id,label
161_1,1
161_2,1
161_3,1
161_4,1
161_5,1
161_6,1
162_1,2
162_2,2
162_3,2
162_4,2
162_5,8
162_6,2
163_1,9
163_2,9
163_3,9
163_4,9
163_5,9
163_6,9
164_1,4
164_2,4
164_3,4
164_4,35
164_5,35
164_6,35
167_1,5
167_2,5
167_3,5
167_4,5
167_5,5
167_6,5
168_1,6
168_2,6
168_3,6
168_4,6
168_5,12
168_6,6
169_1,7
169_2,7
169_3,7
169_4,7
169_5,7
169_6,7
170_1,8
170_2,8
170_3,8
170_4,8
170_5,8
170_6,8
171_1,9
171_2,9
171_3,9
171_4,9
171_5,9
171_6,9
173_1,10
173_2,10
173_3,10
173_4,10
173_5,10
173_6,10
175_1,11
175_2,11
175_3,11
175_4,11
175_5,11
175_6,11
176_1,12
176_2,12
176_3,12
176_4,12
176_5,12
176_6,12
177_1,9
177_2,9
177_3,9
177_4,9
177_5,9
177_6,9
178_1,14
178_2,14
178_3,14
178_4,14
178_5,14
178_6,14
179_1,15
179_2,15
179_3,52
179_4,15
179_5,15
179_6,52
180_1,16
180_2,16
180_3,16
180_4,16
180_5,16
180_6,16
181_1,17
181_2,17
181_3,17
181_4,17
181_5,17
181_6,17
182_1,18
182_2,18
182_3,32
182_4,18
182_5,18
182_6,18
183_1,19
183_2,19
183_3,19
183_4,19
183_5,19
183_6,19
184_1,20
184_2,20
184_3,72
184_4,20
184_5,20
184_6,20
185_1,21
185_2,21
185_3,21
185_4,21
185_5,52
185_6,21
186_1,22
186_2,22
186_3,22
186_4,22
186_5,22
186_6,22
187_1,23
187_2,23
187_3,23
187_4,23
187_5,23
187_6,23
188_1,24
188_2,24
188_3,24
188_4,24
188_5,24
188_6,24
189_1,25
189_2,25
189_3,25
189_4,25
189_5,25
189_6,25
190_1,26
190_2,26
190_3,26
190_4,26
190_5,26
190_6,26
191_1,27
191_2,27
191_3,27
191_4,27
191_5,27
191_6,27
192_1,28
192_2,28
192_3,28
192_4,28
192_5,37
192_6,28
193_1,29
193_2,29
193_3,29
193_4,29
193_5,29
193_6,29
194_1,30
194_2,30
194_3,30
194_4,30
194_5,30
194_6,30
195_1,31
195_2,31
195_3,31
195_4,31
195_5,31
195_6,31
196_1,32
196_2,32
196_3,32
196_4,32
196_5,32
196_6,32
197_1,37
197_2,37
197_3,33
197_4,33
197_5,37
197_6,33
199_1,34
199_2,34
199_3,34
199_4,34
199_5,31
199_6,34
200_1,35
200_2,35
200_3,35
200_4,35
200_5,35
200_6,35
201_1,36
201_2,36
201_3,36
201_4,36
201_5,36
201_6,36
202_1,37
202_2,37
202_3,37
202_4,37
202_5,37
202_6,37
203_1,38
203_2,38
203_3,38
203_4,38
203_5,38
203_6,38
204_1,27
204_2,27
204_3,27
204_4,27
204_5,39
204_6,27
205_1,40
205_2,40
205_3,40
205_4,40
205_5,40
205_6,40
206_1,41
206_2,41
206_3,41
206_4,41
206_5,41
206_6,41
207_1,42
207_2,42
207_3,42
207_4,42
207_5,42
207_6,42
209_1,60
209_2,60
209_3,60
209_4,60
209_5,60
209_6,60
210_1,44
210_2,44
210_3,44
210_4,44
210_5,44
210_6,44
212_1,46
212_2,46
212_3,62
212_4,69
212_5,46
212_6,46
213_1,46
213_2,46
213_3,46
213_4,46
213_5,46
213_6,46
214_1,47
214_2,47
214_3,62
214_4,62
214_5,62
214_6,62
215_1,48
215_2,48
215_3,48
215_4,48
215_5,48
215_6,48
216_1,49
216_2,49
216_3,6
216_4,55
216_5,55
216_6,55
217_1,60
217_2,50
217_3,60
217_4,60
217_5,27
217_6,23
224_1,51
224_2,51
224_3,51
224_4,51
224_5,51
224_6,51
225_1,52
225_2,52
225_3,52
225_4,52
225_5,52
225_6,52
226_1,53
226_2,53
226_3,53
226_4,53
226_5,53
226_6,53
227_1,54
227_2,54
227_3,54
227_4,54
227_5,54
227_6,54
228_1,55
228_2,55
228_3,55
228_4,55
228_5,55
228_6,55
229_1,44
229_2,44
229_3,44
229_4,44
229_5,44
229_6,44
230_1,57
230_2,57
230_3,57
230_4,57
230_5,57
230_6,57
231_1,71
231_2,58
231_3,72
231_4,72
231_5,58
231_6,58
232_1,55
232_2,55
232_3,62
232_4,55
232_5,55
232_6,55
233_1,60
233_2,60
233_3,60
233_4,60
233_5,60
233_6,60
234_1,27
234_2,61
234_3,55
234_4,9
234_5,9
234_6,61
236_1,62
236_2,62
236_3,62
236_4,62
236_5,62
236_6,62
240_1,63
240_2,63
240_3,63
240_4,63
240_5,72
240_6,63
241_1,64
241_2,65
241_3,65
241_4,64
241_5,64
241_6,64
242_1,65
242_2,65
242_3,65
242_4,65
242_5,65
242_6,65
243_1,66
243_2,66
243_3,37
243_4,37
243_5,37
243_6,66
244_1,67
244_2,67
244_3,67
244_4,67
244_5,58
244_6,67
245_1,68
245_2,68
245_3,68
245_4,68
245_5,68
245_6,68
246_1,69
246_2,69
246_3,69
246_4,69
246_5,69
246_6,69
247_1,70
247_2,70
247_3,27
247_4,27
247_5,70
247_6,27
248_1,71
248_2,58
248_3,58
248_4,71
248_5,71
248_6,71
249_1,72
249_2,62
249_3,62
249_4,62
249_5,62
249_6,62
